,route_id,m/s,km/h,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,transit_type
105,6658,5.817074834557939,20.941469404408583,TL,145,SFU/Production Station,,3,,,,Bus
163,6726,5.809173821675114,20.91302575803041,TL,405,Five Road/Cambie,,3,,,,Bus
87,6636,5.79770737161719,20.871746537821885,TL,049,Metrotown Station/Dunbar Loop/UBC,,3,,,,Bus
24,30040,5.791309063329786,20.84871262798723,TL,174,Coquitlam Central Station/Rocklin,,3,,,,Bus
184,6780,5.776502752610629,20.795409909398263,TL,215,Indian River/Phibbs Exchange,,3,,,,Bus
209,6837,5.767839699748021,20.764222919092877,TL,N24,Downtown/Lynn Valley NightBus,,3,,,,Bus
29,30046,5.766117426228235,20.758022734421647,TL,183,Moody Centre Station/Coquitlam Central Station,,3,,,,Bus
175,6746,5.748837921790283,20.69581651844502,TL,608,Ladner Ring,,3,,,,Bus
108,6661,5.744358292607213,20.67968985338597,TL,153,Coquitlam Central Station/Braid Station,,3,,,,Bus
159,6722,5.743557770363515,20.676807973308655,TL,401,Richmond-Brighouse Station/One Road,,3,,,,Bus
128,6686,5.741177066369032,20.668237438928514,TL,247,Grouse Mountain Mountain/Downtown,,3,,,,Bus
2,11692,5.729173788258047,20.625025637728967,TL,364,Langley Centre/Scottsdale,,3,,,,Bus
50,34542,5.716665794680883,20.57999686085118,TL,406,Richmond Brighouse Station/Steveston,,3,,,,Bus
111,6664,5.71223960169085,20.564062566087063,TL,156,Braid Station/Lougheed Station,,3,,,,Bus
91,6642,5.703287093030629,20.531833534910266,TL,100,22nd St Station/Marpole Loop,,3,,,,Bus
103,6656,5.693782308185156,20.49761630946656,TL,143,Burquitlam Station/SFU,,3,,,,Bus
107,6660,5.670960119300072,20.41545642948026,TL,152,Coquitlam Central Station/Lougheed Station,,3,,,,Bus
142,6704,5.656440183482228,20.363184660536024,TL,320,Langley/Fleetwood/Surrey Central Station,,3,,,,Bus
